@relation user_activity-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute id numeric
@attribute user_id numeric
@attribute product_id numeric
@attribute activity_type {browse,view,search,add_to_cart,remove_from_cart,add_to_favorite,remove_from_favorite,add_to_preferred_categories,completed_checkout}
@attribute activity_timestamp numeric
@attribute product_category_id numeric
@attribute activity_duration numeric
@attribute category_filter numeric
@attribute top_category1 numeric
@attribute top_category2 numeric
@attribute top_category3 numeric
@attribute search_filter {books,book,phone,tree,chain,home,laptop,beauty,ball,garden,shirt,jean,kitchen,blender,breas,ta}
@attribute min_price_filter numeric
@attribute max_price_filter numeric
@attribute order_id numeric

@data
1,2,14.482558,browse,1729775644452,3.912791,3,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
2,2,14.482558,browse,1729775647056,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
3,2,14.482558,browse,1729775648971,3.912791,1,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
4,2,14.482558,browse,1729775912714,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
5,2,14.482558,browse,1729775914816,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
6,2,14.482558,browse,1729775917347,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
7,2,14.482558,browse,1729776161794,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
8,2,14.482558,browse,1729776164470,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
9,2,14.482558,browse,1729776165967,3.912791,1,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
10,2,14.482558,browse,1729776915739,3.912791,3,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
11,2,14.482558,browse,1729776921396,3.912791,5,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
12,2,14.482558,browse,1729776923936,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
13,2,14.482558,browse,1729777213832,3.912791,4,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
14,2,14.482558,browse,1729777215826,3.912791,1,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
15,2,14.482558,browse,1729777222007,3.912791,6,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
16,2,14.482558,browse,1729778033618,3.912791,4,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
17,2,14.482558,browse,1729778558827,3.912791,5,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
18,2,14.482558,browse,1729778562787,3.912791,3,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
19,2,14.482558,browse,1729778811207,3.912791,4,8,2.242215,4.266436,8.038062,book,40,84.333333,16.5
20,2,14.482558,browse,1729778815206,3.912791,3,7,2.242215,4.266436,8.038062,book,40,84.333333,16.5
21,2,14.482558,browse,1729778817825,3.912791,2,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
22,2,14.482558,browse,1729778821022,3.912791,3,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
23,2,14.482558,browse,1729778860795,3.912791,3,8,2.242215,4.266436,8.038062,book,40,84.333333,16.5
24,2,14.482558,browse,1729779161370,3.912791,4,4.689655,2.242215,4.266436,8.038062,book,20,84.333333,16.5
25,2,14.482558,browse,1729779165067,3.912791,3,4.689655,2.242215,4.266436,8.038062,book,40,35,16.5
26,2,14.482558,browse,1729779168027,3.912791,2,1,2.242215,4.266436,8.038062,book,40,84.333333,16.5
27,2,14.482558,browse,1729779214899,3.912791,46,4.689655,2.242215,4.266436,8.038062,book,40,84.333333,16.5
